epoch,accuracy,loss,val_accuracy,val_loss
0,0.38187819719314575,5.818709373474121,0.5924657583236694,3.1317155361175537
1,0.6313279271125793,2.5881001949310303,0.6281800270080566,2.319859266281128
2,0.6519931554794312,2.0833864212036133,0.6223092079162598,2.082214117050171
3,0.6678894758224487,1.850103497505188,0.6560665369033813,1.8767088651657104
4,0.670335054397583,1.735141634941101,0.6619373559951782,1.7509942054748535
5,0.6736366152763367,1.66474187374115,0.6653620600700378,1.7236511707305908
6,0.6852531433105469,1.6118946075439453,0.658023476600647,1.6797044277191162
7,0.680606484413147,1.6030851602554321,0.6521526575088501,1.7696433067321777
8,0.676082193851471,1.5808247327804565,0.6399217247962952,1.7330117225646973
9,0.6879432797431946,1.5211448669433594,0.6487280130386353,1.686070203781128
0,0.537417471408844,2.254889965057373,0.6727005839347839,1.6097365617752075
1,0.6506480574607849,1.7451183795928955,0.6917808055877686,1.5657414197921753
2,0.6755930781364441,1.6121797561645508,0.7030332684516907,1.4680408239364624
3,0.6999266147613525,1.47189199924469,0.715753436088562,1.4106223583221436
4,0.7212032079696655,1.4053785800933838,0.7245596647262573,1.3619306087493896
