epoch,accuracy,loss,val_accuracy,val_loss
0,0.007825874723494053,10.854161262512207,0.010273972526192665,10.368223190307617
1,0.012717045843601227,9.913226127624512,0.008317025378346443,9.504981994628906
2,0.012594765983521938,9.093031883239746,0.013209393247961998,8.707939147949219
3,0.014673514291644096,8.362247467041016,0.015655577182769775,8.037074089050293
4,0.021154316142201424,7.727048873901367,0.018101761117577553,7.452618598937988
5,0.02567864954471588,7.181288242340088,0.022994128987193108,6.970011234283447
6,0.030814379453659058,6.725136756896973,0.027886496856808662,6.550008296966553
7,0.033382244408130646,6.342966556549072,0.027397260069847107,6.21978235244751
8,0.03802885860204697,6.029203414916992,0.035225048661231995,5.950027942657471
9,0.04475421831011772,5.794684410095215,0.041585128754377365,5.742995738983154
10,0.04707752540707588,5.607358455657959,0.04354207590222359,5.575080871582031
11,0.04927855357527733,5.42507266998291,0.03864970803260803,5.442087650299072
12,0.05196869745850563,5.289435863494873,0.03962818160653114,5.362646579742432
13,0.057960379868745804,5.1675705909729,0.04305283725261688,5.249624252319336
14,0.06480801850557327,5.069729804992676,0.045009784400463104,5.130842208862305
15,0.06627537310123444,4.979173183441162,0.05430528521537781,5.049978256225586
16,0.06835412234067917,4.887140274047852,0.05283757299184799,4.982442855834961
17,0.07104426622390747,4.82133674621582,0.04794520512223244,4.902713298797607
18,0.07617999613285065,4.767039775848389,0.06017612665891647,4.807123184204102
19,0.07544632256031036,4.707242965698242,0.05430528521537781,4.850240230560303
