epoch,accuracy,loss,val_accuracy,val_loss
0,0.5615065097808838,1.9187015295028687,0.8180038928985596,0.6288052201271057
1,0.7676693797111511,0.8432728052139282,0.8326810002326965,0.6028978228569031
2,0.7933480143547058,0.7443909645080566,0.8321917653083801,0.5892317295074463
3,0.8069210052490234,0.6740584969520569,0.8346379399299622,0.5392650961875916
4,0.8156028389930725,0.639082133769989,0.8336594700813293,0.5515804290771484
5,0.8289312720298767,0.5798614025115967,0.8214285969734192,0.5695012211799622
6,0.8363903164863586,0.5353400111198425,0.8454011678695679,0.5411825776100159
0,0.8017852902412415,0.6940531730651855,0.8556751608848572,0.5109729766845703
1,0.8508192896842957,0.5107637047767639,0.8610567450523376,0.4797145426273346
2,0.8689166307449341,0.4213694632053375,0.8664383292198181,0.46096017956733704
3,0.8838346600532532,0.3699652850627899,0.8625244498252869,0.4686748683452606
4,0.8893372416496277,0.3594386577606201,0.8635029196739197,0.4729146361351013
5,0.8921496868133545,0.3344726264476776,0.8698630332946777,0.47060805559158325
